Fund Name,Expense Category,Org Description,Object Description,Original Budget,Revised Budget,Fiscal Year,ID
General Fund,Misc Operating Exp,Genl Fd Traffic Signals,Misc Memberships,581,581,2016,2016-1001-440-80770-00000000-00000000-5930
General Fund,Non-Dept Misc Exp,Genl Fd Non Dept Expense,Nonoper Exp Miscellaneous,35000,35000,2016,2016-1001-910-89100-00000000-00000000-6790
General Fund,Maintenance Exp,Genl Fd Operations East Dist,Maint Irrigation,32489,32489,2016,2016-1001-530-81141-00000000-00000000-5210
General Fund,Salaries/Benefit Exp,Genl Fd Facilities Management,Benefits Group Life Insurance,1035,1035,2016,2016-1001-440-80720-00000000-00000000-5056
General Fund,Utilities Exp,Genl Fd Operations South Dist,Utilities Local Phone,822,822,2016,2016-1001-530-81142-00000000-00000000-5404
Sanitation Fund,Debt Expense,Sanitation Fd CO2009,Debt Interest Pmts CO,156560,156560,2016,2016-5214-910-89220-CO2009  -00000000-6646
General Fund,Indirect Exp,Genl Fd Youth Volleyball,Recreation Indirect PARD Admin,6552,6552,2016,2016-1001-530-81125-SP757   -00000000-5810
General Fund,Indirect Exp,Genl Fd Water Fitness,Recreation Indirect PARD Admin,5616,5616,2016,2016-1001-530-81125-AQ737   -00000000-5810
Water Fund,Supplies Exp,Water General Operations,Supplies Promotional,1000,1000,2016,2016-5212-510-80900-00000000-WGENX   -5115-
Drainage Utility Fund,Utilities Exp,Drainage Fd Maintenance,Utilities Sanitation,328,328,2016,2016-3912-440-80796-00000000-00000000-5408
General Fund,Supplies Exp,Genl Fd Adult Softball,Supplies Recreational,800,800,2016,2016-1001-530-81125-SP752   -00000000-5118
General Fund,Supplies Exp,Genl Fd Special Operations,Supplies Goodwill,5000,5000,2016,2016-1001-410-80360-00000000-00000000-5116
General Fund,Utilities Exp,Genl Fd Recreation Admin,Utilities Phone Long Distance,6,6,2016,2016-1001-530-81110-00000000-00000000-5405
Electric Fund,Salaries/Benefit Exp,Elec T&D Overhead Line,Benefits Group Life Insurance,625,625,2016,2016-5211-500-80870-00000000-583     -5056-
Electric Fund,Salaries/Benefit Exp,Elec EM Customer Assistance,Benefits Workers Comp Ins,395,395,2016,2016-5211-500-80860-00000000-908     -5057
General Fund,Salaries/Benefit Exp,Genl Fd SW Center   Senior,Benefits FICA,7164,7164,2016,2016-1001-530-81125-CT830   -00000000-5050
General Fund,Misc Operating Exp,Genl Fd Special Operations,Misc Other,505,505,2016,2016-1001-410-80360-00000000-00000000-5990
General Fund,Supplies Exp,Genl Fd Information Services,Supplies Computer Hdw/Sftw/Oth,2362,2362,2016,2016-1001-410-80370-00000000-00000000-5112
General Fund,Replacements Exp,Genl Fd Fire Suppression,Replacement UPS,3644,3644,2016,2016-1001-420-80420-00000000-00000000-5605
Sanitation Fund,Replacements Exp,Sanitation Fd Commercial,Replacement Virtual Servers,851,851,2016,2016-5214-440-80781-00000000-00000000-5601-
Fleet Maintenance Fund,Supplies Exp,Fleet Fd Admin,Supplies Veh/Equip Fuel & Oil,11741,11741,2016,2016-2227-440-80791-00000000-00000000-5104
General Fund,Supplies Exp,Genl Fd Southwood Pool,Supplies Janitorial,1781,1781,2016,2016-1001-530-81125-AQ731   -00000000-5109
Utility Customer Service Fund,Salaries/Benefit Exp,UCS Fd Meter Svcs,Benefits Retirement,48583,48583,2016,2016-2226-300-80270-00000000-00000000-5051
General Fund,Salaries/Benefit Exp,Genl Fd Public Communications,Benefits Group Health Ins,50265,50265,2016,2016-1001-100-80150-00000000-00000000-5055
General Fund,Salaries/Benefit Exp,Genl Fd GIS,Benefits Workers Comp Ins,140,140,2016,2016-1001-600-81220-00000000-00000000-5057
General Fund,Utilities Exp,Genl Fd Fire Administration,Utilities Local Phone,10772,10772,2016,2016-1001-420-80400-00000000-00000000-5404
Community Development Fund,Prof Svcs Exp,Com Dev Fd Operations,Prof Svcs Audit,9800,9800,2016,2016-3122-450-80630-00000000-00000000-5301
Wastewater Fund,Salaries/Benefit Exp,WW Pumping Treat Disp Maint,Benefits Unemployment Comp Ins,103,103,2016,2016-5213-520-80960-00000000-STRTM   -5058-
General Fund,Salaries/Benefit Exp,Genl Fd Lincoln Center,Benefits Group Life Insurance,399,399,2016,2016-1001-530-81125-CT850   -00000000-5056
General Fund,Salaries/Benefit Exp,Genl Fd Business Services,Benefits FICA,29223,31695,2016,2016-1001-600-81250-00000000-00000000-5050
Water Fund,Misc Operating Exp,Water General Operations,Misc Postage & Freight,355,355,2016,2016-5212-510-80900-00000000-WGENX   -5960-
General Fund,Utilities Exp,Genl Fd Library,Utilities Local Phone,888,888,2016,2016-1001-530-81190-00000000-00000000-5404
Debt Service Fund,Debt Expense,Debt Svc Fd GO2009R,Debt Interest Pmts GOB,48950,48950,2016,2016-1151-910-89210-GO2009R -00000000-6643
General Fund,Maintenance Exp,Genl Fd Fire Administration,Maint Computer Hdw/Sftw/Other,321,321,2016,2016-1001-420-80400-00000000-00000000-5201
General Fund,Prof Svcs Exp,Genl Fd SW Center   Teen,Prof Svcs Janitorial,3884,3884,2016,2016-1001-530-81125-CT840   -00000000-5309-
Electric Fund,Salaries/Benefit Exp,Elec Whse Stores Exp,Salaries Temp/Seasonal/PTNB,6564,6564,2016,2016-5211-500-80800-00000000-163     -5013
General Fund,Salaries/Benefit Exp,Genl Fd SW Center   Senior,Benefits Retirement,7743,7743,2016,2016-1001-530-81125-CT830   -00000000-5051
General Fund,Purchased Services,Genl Fd Landscape/Irrigation,Training Outside,2875,2875,2016,2016-1001-440-80760-00000000-00000000-5551-
General Fund,Salaries/Benefit Exp,Genl Fd Ultimate Frisbee,Salaries Temp/Seasonal/PTNB,310,310,2016,2016-1001-530-81125-SP766   -00000000-5013-
General Fund,Supplies Exp,Genl Fd Swim Lessons,Supplies Clothing/Uniforms,900,900,2016,2016-1001-530-81125-AQ736   -00000000-5120
General Fund,Salaries/Benefit Exp,Genl Fd Youth Volleyball,Benefits FICA,346,346,2016,2016-1001-530-81125-SP757   -00000000-5050
General Fund,Misc Operating Exp,Genl Fd Comm & Nhood Transport,Misc Memberships,722,722,2016,2016-1001-430-80540-00000000-00000000-5930
General Fund,Supplies Exp,Genl Fd Economic Development,Supplies Promotional,10000,10000,2016,2016-1001-100-80170-00000000-00000000-5115-
Wastewater Fund,Salaries/Benefit Exp,WW Collection Maintenance,Salaries Full Time Labor,545974,545974,2016,2016-5213-520-80950-00000000-SCMTM   -5011-
General Fund,Salaries/Benefit Exp,Genl Fd Fire Prevention,Benefits Retirement,72083,72992,2016,2016-1001-420-80430-00000000-00000000-5051
Electric Fund,Salaries/Benefit Exp,Elec T&D Mnt Dist Overhead,Salaries Standby,3156,3156,2016,2016-5211-500-80870-00000000-593     -5016-
Property & Casualty Ins Fund,Non-Dept Ins Legal,P&C Ins Fd Non Dept Exp,Insure Legal Settlements,120000,120000,2016,2016-2221-910-89100-00000000-00000000-6127
General Fund,Supplies Exp,Genl Fd Planning,Supplies Office Furniture,189,189,2016,2016-1001-430-80530-00000000-00000000-5103
Sanitation Fund,Purchased Services,Sanitation Fd Commercial,Insurance Premiums,17002,17002,2016,2016-5214-440-80781-00000000-00000000-5520
General Fund,Salaries/Benefit Exp,Genl Fd Neighborhood Services,Benefits Retirement,7460,7460,2016,2016-1001-100-80151-00000000-00000000-5051
General Fund,Salaries/Benefit Exp,Genl Fd SW Center   Teen,Benefits Group Life Insurance,81,81,2016,2016-1001-530-81125-CT840   -00000000-5056
Employee Benefits Fund,Non-Dept Ins Admin,Empl Ben Ins Fd Non Dept Exp,Insure Claims Admin,552407,552407,2016,2016-2222-910-89100-00000000-00000000-6113
Wastewater Fund,Misc Operating Exp,WW General Plant Operations,Misc Memberships,1205,1205,2016,2016-5213-520-80960-00000000-SGOPX   -5930-
General Fund,Prof Svcs Exp,Genl Fd Civil Engineering,Prof Svcs Legal,1007,1007,2016,2016-1001-430-80510-00000000-00000000-5300
General Fund,Maintenance Exp,Genl Fd Traffic Signals,Maint Machinery/Tools,300,300,2016,2016-1001-440-80770-00000000-00000000-5204
Electric Fund,Purchased Power,Elec Adm Purchsed Power Other,Util Pur Svc Wheeling Charges,6200000,6200000,2016,2016-5211-500-80810-00000000-565     -5421-
General Fund,Purchased Services,Genl Fd Lincoln Center,Insurance Premiums,2566,2566,2016,2016-1001-530-81125-CT850   -00000000-5520
General Fund,Public Agency,Genl Fd Non Dept Expense,Nonoper Exp Contributions,1211753,1211753,2016,2016-1001-910-89100-00000000-00000000-6720
General Fund,Maintenance Exp,Genl Fd Legal,Maint Office Equip/Furn,300,300,2016,2016-1001-100-80140-00000000-00000000-5200
General Fund,Purchased Services,Genl Fd City Secretary,Insurance Notary/Bonds,140,140,2016,2016-1001-100-80110-00000000-00000000-5521
Electric Fund,Supplies Exp,Elec Adm Ofc Supp/Other,Supplies Minor Equip/Tools,1500,1500,2016,2016-5211-500-80810-00000000-921     -5102
Electric Fund,Salaries/Benefit Exp,Elec Sub Meter Expense,Salaries Full Time Labor,304182,304182,2016,2016-5211-500-80820-00000000-586     -5011
General Fund,Supplies Exp,Genl Fd City Secretary,Supplies Goodwill,1500,1500,2016,2016-1001-100-80110-00000000-00000000-5116
General Fund,Utilities Exp,Genl Fd Mayor & Council,Utilities Mobile Phone,3920,3920,2016,2016-1001-100-80100-00000000-00000000-5406
General Fund,Misc Operating Exp,Genl Fd Planning,Misc Subscriptions,508,508,2016,2016-1001-430-80530-00000000-00000000-5935
General Fund,Salaries/Benefit Exp,Genl Fd Economic Development,Salaries Temp/Seasonal/PTNB,37000,37000,2016,2016-1001-100-80170-00000000-00000000-5013-
Northgate Parking Fund,Supplies Exp,NG Pkg Fd Parking Oper,Supplies Miscellaneous,1900,1900,2016,2016-5202-450-80621-00000000-00000000-5199
Drainage Utility Fund,Replacements Exp,Drainage Fd Engineering,Replacement Fleet,3625,3625,2016,2016-3912-430-80795-00000000-00000000-5600
Electric Fund,Supplies Exp,Elec EM Misc Exp Cloth/Uniform,Supplies Clothing/Uniforms,443,443,2016,2016-5211-500-80860-00000000-916.2   -5120
Utility Customer Service Fund,Salaries/Benefit Exp,UCS Fd Bill/Coll,Benefits Retirement,73988,73988,2016,2016-2226-300-80260-00000000-00000000-5051
General Fund,Prof Svcs Exp,Genl Fd Traffic Signals,Prof Svcs Engineer/Survey,50000,50000,2016,2016-1001-440-80770-00000000-00000000-5303
Wastewater Fund,Utility Transfer,WW Fd Non Dept Exp,Nonoper Exp Utility Trsf GF,1358261,1358261,2016,2016-5213-910-89100-00000000-00000000-6770
General Fund,Supplies Exp,Genl Fd Swim Team,Supplies Awards,1142,1142,2016,2016-1001-530-81125-AQ738   -00000000-5121
General Fund,Utilities Exp,Genl Fd Fiscal Administration,Utilities Phone Long Distance,244,244,2016,2016-1001-300-80200-00000000-00000000-5405
Wastewater Fund,Salaries/Benefit Exp,WW Sludge Operations,Benefits Unemployment Comp Ins,179,179,2016,2016-5213-520-80960-00000000-SLUDX   -5058-
General Fund,G&A Transfer Out,Genl Fd Lincoln Center,G&A Transfer Out General Fd,29895,29895,2016,2016-1001-530-81125-CT850   -00000000-6310
Northgate Parking Fund,Misc Operating Exp,NG Pkg Fd Parking Oper,Misc Memberships,200,200,2016,2016-5202-450-80621-00000000-00000000-5930
Electric Fund,Prof Svcs Exp,Elec Dis Load Dispatching Dist,Prof Svcs Engineer/Survey,60000,60000,2016,2016-5211-500-80830-00000000-581     -5303-
Electric Fund,Purchased Services,Elec EM Safety,Training Outside,2803,2803,2016,2016-5211-500-80860-00000000-925     -5551-
Debt Service Fund,Debt Expense,Debt Svc Fd GO2011,Debt Principal Pmts GOB,205000,205000,2016,2016-1151-910-89210-GO2011  -00000000-6633
General Fund,Salaries/Benefit Exp,Genl Fd PARD Administration,Salaries Full Time Labor,335254,336427,2016,2016-1001-530-81100-00000000-00000000-5011
General Fund,Salaries/Benefit Exp,Genl Fd Human Resources,Benefits Gym Membership,241,241,2016,2016-1001-100-80160-00000000-00000000-5060
Northgate Parking Fund,Replacements Exp,NG Pkg Fd Parking Oper,Replacement Fleet,6375,6375,2016,2016-5202-450-80621-00000000-00000000-5600
General Fund,Maintenance Exp,Genl Fd Streets Maintenance,Maint Grounds,171250,171250,2016,2016-1001-440-80740-00000000-00000000-5212
Fleet Maintenance Fund,Salaries/Benefit Exp,Fleet Fd Admin,Benefits Group Health Ins,108593,108593,2016,2016-2227-440-80791-00000000-00000000-5055
Debt Service Fund,Debt Expense,Debt Svc Fd GO2006R,Debt Principal Pmts GOB,1285000,1285000,2016,2016-1151-910-89210-GO2006R -00000000-6633
Water Projects Fund,G&A Transfer Out,Water CIP Fd Non Dept Exp,G&A Transfer Out General Fd,88010,88010,2016,2016-4238-910-89100-00000000-00000000-6310
Water Fund,Supplies Exp,Water General Operations,Supplies Safety,10000,10000,2016,2016-5212-510-80910-00000000-WGENX   -5122-
General Fund,Salaries/Benefit Exp,Genl Fd Recruiting & Training,Benefits FICA,38677,38677,2016,2016-1001-410-80330-00000000-00000000-5050
General Fund,Salaries/Benefit Exp,Genl Fd Mail,Benefits Workers Comp Ins,31,31,2016,2016-1001-600-81230-00000000-00000000-5057
General Fund,Supplies Exp,Genl Fd Xtra Education,Supplies Goodwill,1917,1917,2016,2016-1001-530-81125-XT794   -00000000-5116
General Fund,Purchased Services,Genl Fd Tourism Special Events,Travel Lodging/Transport/Other,357,357,2016,2016-1001-530-81121-00000000-00000000-5570
General Fund,Salaries/Benefit Exp,Genl Fd Traffic Signals,Salaries Full Time Labor,271856,271856,2016,2016-1001-440-80770-00000000-00000000-5011
General Fund,Salaries/Benefit Exp,Genl Fd City Secretary,Salaries Part Time Labor w Ben,15649,15649,2016,2016-1001-100-80110-00000000-00000000-5012
Electric Fund,Supplies Exp,Elec EM Misc Exp Food/Other,Supplies Goodwill,500,500,2016,2016-5211-500-80860-00000000-916.1   -5116
General Fund,Purchased Services,Genl Fd Xtra Education,Travel Lodging/Transport/Other,2010,2010,2016,2016-1001-530-81125-XT794   -00000000-5570
"Public, Ed & Gov't Fee Fund",Prof Svcs Exp,PEG Fd Non Dept Exp,Prof Svcs Contract Labor,48000,48000,2016,2016-3353-910-89100-00000000-00000000-5315
Wastewater Fund,Purchased Services,WW General Plant Operations,Training Outside,14958,14958,2016,2016-5213-520-80960-00000000-SGOPX   -5551-
General Fund,Salaries/Benefit Exp,Genl Fd E Government,Benefits Retirement,6692,6692,2016,2016-1001-600-81210-00000000-00000000-5051
General Fund,Purchased Services,Genl Fd Public Works Admin,Travel Lodging/Transport/Other,4425,4425,2016,2016-1001-440-80700-00000000-00000000-5570
General Fund,Supplies Exp,Genl Fd Streets Maintenance,Supplies Traffic Control,500,55800,2016,2016-1001-440-80740-00000000-00000000-5117
General Fund,Salaries/Benefit Exp,Genl Fd Tourism Special Events,Benefits Group Life Insurance,236,236,2016,2016-1001-530-81121-00000000-00000000-5056
Debt Service Fund,Debt Expense,Debt Svc Fd GO2007,Debt Interest Pmts GOB,88550,88550,2016,2016-1151-910-89210-GO2007  -00000000-6643
General Fund,Supplies Exp,Genl Fd Support Services,Supplies Veh/Equip Radio/Pager,22329,22329,2016,2016-1001-410-80340-00000000-00000000-5106
General Fund,Supplies Exp,Genl Fd Recreation Admin,Supplies Recreational,7400,7400,2016,2016-1001-530-81110-00000000-00000000-5118
Water Fund,Dept Capital Exp,Water Direct Capital,Capital Computer Software,10000,10000,2016,2016-5212-910-89100-00000000-WDRCP   -5705-
General Fund,Misc Operating Exp,Genl Fd Fiscal Administration,Misc Memberships,2568,2568,2016,2016-1001-300-80200-00000000-00000000-5930
General Fund,Salaries/Benefit Exp,Genl Fd Traffic Signals,Salaries Standby,6150,6150,2016,2016-1001-440-80770-00000000-00000000-5016
General Fund,Supplies Exp,Genl Fd Emergency Management,Supplies Emergency Prepared,2459,2459,2016,2016-1001-420-80410-00000000-00000000-5125-
General Fund,Supplies Exp,Genl Fd Adamson Lagoon,Supplies Clothing/Uniforms,1699,1699,2016,2016-1001-530-81125-AQ733   -00000000-5120
General Fund,Purchased Services,Genl Fd Public Works Admin,Training Inhouse,5200,5200,2016,2016-1001-440-80700-00000000-00000000-5552
Electric Fund,Capital Outlay,Elec Fd ND Dir Cap URD Conduct,Cap Outlay El Plant Dist Dir,30000,30000,2016,2016-5211-500-89100-00000000-367     -6544-
Electric Fund,Misc Operating Exp,Elec Adm Ofc Supp/Other,Misc Postage & Freight,1783,1783,2016,2016-5211-500-80810-00000000-921     -5960
General Fund,Supplies Exp,Genl Fd Adamson Lagoon,Supplies Janitorial,3894,3894,2016,2016-1001-530-81125-AQ733   -00000000-5109
General Fund,Supplies Exp,Genl Fd Tourism Athletics,Supplies Office Supplies,150,150,2016,2016-1001-530-81122-00000000-00000000-5101
General Fund,Salaries/Benefit Exp,Genl Fd Comm & Nhood GIS,Salaries Full Time Labor,31482,31482,2016,2016-1001-430-80542-00000000-00000000-5011
General Fund,Misc Operating Exp,Genl Fd City Secretary,Misc Postage & Freight,1500,1500,2016,2016-1001-100-80110-00000000-00000000-5960
General Fund,Supplies Exp,Genl Fd Code Enforcement,Supplies Clothing/Uniforms,2040,2040,2016,2016-1001-450-80610-00000000-00000000-5120
General Fund,Transfer Out Exp,Genl Fd Non Dept Expense,Transfer Out NG Parking Fd,198199,198199,2016,2016-1001-910-89100-00000000-00000000-6857
General Fund,Utilities Exp,Genl Fd Adamson Lagoon,Utilities Mobile Phone,108,108,2016,2016-1001-530-81125-AQ733   -00000000-5406
General Fund,Misc Operating Exp,Genl Fd Develop Svcs Dev Coord,Misc Credit Card Fees,34000,34000,2016,2016-1001-430-80521-00000000-00000000-5950
Wastewater Fund,Salaries/Benefit Exp,WW General Plant Maintenance,Salaries Full Time Labor,198089,198089,2016,2016-5213-520-80960-00000000-SGMTM   -5011-
General Fund,Salaries/Benefit Exp,Genl Fd GIS,Benefits Group Life Insurance,334,334,2016,2016-1001-600-81220-00000000-00000000-5056
Neighborhood Park Zone 9 Fund,G&A Transfer Out,Neigh Pk Zone 9 Non Dept Exp,G&A Transfer Out General Fd,128,128,2016,2016-4179-910-89100-00000000-00000000-6310
General Fund,Maintenance Exp,Genl Fd Communication Services,Maint Miscellaneous,4000,4000,2016,2016-1001-600-81270-00000000-00000000-5299
General Fund,Purchased Services,Genl Fd Emergency Management,Printing External,788,788,2016,2016-1001-420-80410-00000000-00000000-5582
General Fund,Salaries/Benefit Exp,Genl Fd Legal,Benefits Group Health Ins,75417,75417,2016,2016-1001-100-80140-00000000-00000000-5055
General Fund,Purchased Services,Genl Fd Fire Administration,Rent/Lease Equipment,2447,2447,2016,2016-1001-420-80400-00000000-00000000-5500
General Fund,G&A Transfer Out,Genl Fd Tennis Instruction,G&A Transfer Out General Fd,1230,1230,2016,2016-1001-530-81125-SP760   -00000000-6310
General Fund,Salaries/Benefit Exp,Genl Fd Develop Svcs Dev Coord,Benefits Group Health Ins,75159,75159,2016,2016-1001-430-80521-00000000-00000000-5055
General Fund,Misc Operating Exp,Genl Fd Account/Treasury Oper,Misc Memberships,705,705,2016,2016-1001-300-80210-00000000-00000000-5930
Drainage Utility Fund,Utilities Exp,Drainage Fd Engineering,Utilities Local Phone,499,499,2016,2016-3912-430-80795-00000000-00000000-5404
General Fund,Salaries/Benefit Exp,Genl Fd Legal,Benefits Workers Comp Ins,713,713,2016,2016-1001-100-80140-00000000-00000000-5057
Drainage Utility Fund,Salaries/Benefit Exp,Drainage Fd Maintenance,Salaries Cell Allowance,960,960,2016,2016-3912-440-80796-00000000-00000000-5021
